firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisPlayer.person,gsisId,esbId,fullName,slug,gameTime
Vonn,Bell,S,24,STARTED,2020,32013030-2d30-3033-3239-3339a61e7393,,00-0032939,BEL626378,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Tyler,Boyd,WR,83,STARTED,2020,32013030-2d30-3033-3330-303984f9bb0c,,00-0033009,BOY378353,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
William,Jackson,CB,22,STARTED,2020,32013030-2d30-3033-3331-30371afed1ef,,00-0033107,JAC645516,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Mike,Thomas,WR,80,,2020,32013030-2d30-3033-3331-313413636c83,,00-0033114,THO308973,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Cethan,Carter,TE,82,STARTED,2020,32013030-2d30-3033-3333-333881b911aa,,00-0033338,CAR627385,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Torry,McTyer,CB,20,,2020,32013030-2d30-3033-3334-303527e4ae2a,,00-0033405,MCT781756,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
John,Ross,WR,11,NOT_ACTIVE,2020,32013030-2d30-3033-3334-363047a9bddd,,00-0033460,ROS616450,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Carl,Lawson,DE,58,,2020,32013030-2d30-3033-3334-36339faeaaa9,,00-0033463,LAW589402,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Samaje,Perine,HB,34,,2020,32013030-2d30-3033-3335-3236c4dcdbfe,,00-0033526,PER095343,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Jordan,Evans,LB,50,,2020,32013030-2d30-3033-3337-393039f4c9dc,,00-0033790,EVA421955,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Brandon,Wilson,S,40,,2020,32013030-2d30-3033-3337-393184f59b57,,00-0033791,WIL652475,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Mason,Schreck,TE,86,,2020,32013030-2d30-3033-3337-3938ee98018f,,00-0033798,SCH497866,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Joe,Mixon,HB,28,STARTED,2020,32013030-2d30-3033-3338-39376e907289,,00-0033897,MIX564388,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Andrew,Brown,DT,93,,2020,32013030-2d30-3033-3433-3934ba26573c,,00-0034394,BRO255526,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Tony,Brown,CB,27,,2020,32013030-2d30-3033-3435-343057cd0495,,00-0034540,BRO738696,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Jessie,Bates,S,30,STARTED,2020,32013030-2d30-3033-3436-37359deb4cdd,,00-0034675,BAT108395,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Darius,Phillips,CB,23,STARTED,2020,32013030-2d30-3033-3436-3833de918a8a,,00-0034683,PHI140202,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Auden,Tate,WR,19,,2020,32013030-2d30-3033-3436-383645ac5a80,,00-0034686,TAT130154,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Billy,Price,C,53,,2020,32013030-2d30-3033-3437-3632dc9e9f85,,00-0034762,PRI054404,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Sam,Hubbard,DE,94,STARTED,2020,32013030-2d30-3033-3438-33348c32ee9c,,00-0034834,HUB387605,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Fred,Johnson,OT,74,,2020,32013030-2d30-3033-3439-353168cbe262,,00-0034951,JOH000022,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Austin,Seibert,K,03,NOT_ACTIVE,2020,32013030-2d30-3033-3531-3435de033b29,,00-0035145,SEI275063,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Michael,Jordan,G,60,STARTED,2020,32013030-2d30-3033-3532-36369ab87b1c,,00-0035266,JOR146382,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Trayveon,Williams,HB,32,NOT_ACTIVE,2020,32013030-2d30-3033-3532-3931da53332a,,00-0035291,WIL185325,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Keaton,Sutherland,G,65,NOT_ACTIVE,2020,32013030-2d30-3033-3534-30302193bbb8,,00-0035400,SUT189668,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Amani,Bledsoe,DE,91,,2020,32013030-2d30-3033-3535-3133fa0978da,,00-0035513,BLE167192,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Freedom,Akinmoladun,DE,92,,2020,32013030-2d30-3033-3536-3030531d219c,,00-0035600,AKI389011,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Jonah,Williams,OT,73,STARTED,2020,32013030-2d30-3033-3536-3239e1a51646,,00-0035629,WIL132676,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Drew,Sample,TE,89,STARTED,2020,32013030-2d30-3033-3536-3331b782b31b,,00-0035631,SAM093961,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Ryan,Finley,QB,05,,2020,32013030-2d30-3033-3536-3532a6148b47,,00-0035652,FIN412269,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Germaine,Pratt,LB,57,STARTED,2020,32013030-2d30-3033-3536-3937a683f900,,00-0035697,PRA635713,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Logan,Wilson,LB,55,NOT_ACTIVE,2020,32013030-2d30-3033-3632-393471ce325f,,00-0036294,WIL747370,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Akeem,Davis-Gaither,LB,59,,2020,32013030-2d30-3033-3632-3938da0fbbdb,,00-0036298,DAV816473,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Hakeem,Adeniji,G,77,,2020,32013030-2d30-3033-3633-31303fe91c16,,00-0036310,ADE451329,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Markus,Bailey,LB,51,,2020,32013030-2d30-3033-3633-3134dd7dbcb7,,00-0036314,BAI557328,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Khalid,Kareem,DE,90,,2020,32013030-2d30-3033-3633-3431666ae914,,00-0036341,KAR259489,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Tee,Higgins,WR,85,,2020,32013030-2d30-3033-3634-31302fe2144a,,00-0036410,HIG387791,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Joe,Burrow,QB,09,STARTED,2020,32013030-2d30-3033-3634-3432d92fc82e,,00-0036442,BUR679731,Cincinnati Bengals,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Stephen,Hauschka,K,03,NOT_ACTIVE,2020,32013030-2d30-3032-3539-34345266e5e5,,00-0025944,HAU342462,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Bruce,Miller,FB,49,,2020,32013030-2d30-3032-3831-3439c72dc458,,00-0028149,MIL152896,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Abry,Jones,DT,95,STARTED,2020,32013030-2d30-3032-3939-34365bdd84b7,,00-0029946,JON026672,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Chris,Thompson,RB,34,,2020,32013030-2d30-3033-3034-3034ec604bfe,,00-0030404,THO499404,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Mike,Glennon,QB,02,,2020,32013030-2d30-3033-3035-3230b20b479c,,00-0030520,GLE711694,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Tyler,Eifert,TE,88,STARTED,2020,32013030-2d30-3033-3035-34394cd7dfb2,,00-0030549,EIF131143,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
D.J.,Hayden,CB,25,,2020,32013030-2d30-3033-3035-37326cbdbde9,,00-0030572,HAY031145,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Tyler,Shatley,OL,69,STARTED,2020,32013030-2d30-3033-3038-3237ed16183b,,00-0030827,SHA509766,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Andrew,Norwell,OL,68,STARTED,2020,32013030-2d30-3033-3131-32321231ca1c,,00-0031122,NOR777536,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Cassius,Marsh,DE/LB,54,STARTED,2020,32013030-2d30-3033-3131-373553387400,,00-0031175,MAR336314,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Brandon,Linder,OL,65,NOT_ACTIVE,2020,32013030-2d30-3033-3133-3639653484ad,,00-0031369,LIN175931,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
James,O'Shaughnessy,TE,80,STARTED,2020,32013030-2d30-3033-3139-353149d0ce51,,00-0031951,OSH126429,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Chris,Conley,WR,18,,2020,32013030-2d30-3033-3231-32382075b9f9,,00-0032128,CON236839,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
A.J.,Cann,OL,60,STARTED,2020,32013030-2d30-3033-3232-35352c667444,,00-0032255,CAN364949,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Doug,Middleton,S,39,,2020,32013030-2d30-3033-3236-393717b44bb3,,00-0032697,MID257424,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Aldrick,Rosas,K,07,,2020,32013030-2d30-3033-3238-3730be61593b,,00-0032870,ROS046718,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Myles,Jack,LB,44,STARTED,2020,32013030-2d30-3033-3239-3638a8073d82,,00-0032968,JAC008463,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Adam,Gotsis,DE,96,STARTED,2020,32013030-2d30-3033-3330-3634c87a16bb,,00-0033064,GOT428790,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Joe,Schobert,LB,47,STARTED,2020,32013030-2d30-3033-3331-323591d44e2c,,00-0033125,SCH425646,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Sidney,Jones,CB,35,,2020,32013030-2d30-3033-3335-3433e9d88c50,,00-0033543,JON719895,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Keelan,Cole,WR,84,,2020,32013030-2d30-3033-3336-38312a915020,,00-0033681,COL130738,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Dede,Westbrook,WR,12,NOT_ACTIVE,2020,32013030-2d30-3033-3338-3339d6d55d49,,00-0033839,WES551470,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Dare,Ogunbowale,RB,33,,2020,32013030-2d30-3033-3338-3534c2990bb0,,00-0033854,OGU417955,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Cam,Robinson,OL,74,STARTED,2020,32013030-2d30-3033-3338-383952707fd6,,00-0033889,ROB373063,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Josh,Jones,S,29,STARTED,2020,32013030-2d30-3033-3339-3033b857c75a,,00-0033903,JON506328,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Dawuane,Smoot,DL,94,,2020,32013030-2d30-3033-3339-30376dfa5f27,,00-0033907,SMO474349,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Daniel,Ekuale,DT,99,NOT_ACTIVE,2020,32013030-2d30-3033-3432-35312b4ce485,,00-0034251,EKU059326,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Will,Richardson,OL,76,,2020,32013030-2d30-3033-3433-383058a64672,,00-0034380,RIC640708,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Logan,Cooke,P,09,,2020,32013030-2d30-3033-3434-3337938e3b67,,00-0034437,COO283823,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Tre,Herndon,CB,37,STARTED,2020,32013030-2d30-3033-3435-3136cfe03c95,,00-0034516,HER401328,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Kc,McDermott,OL,62,,2020,32013030-2d30-3033-3435-323257b9279c,,00-0034522,MCD191817,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
D.J.,Chark,WR,17,STARTED,2020,32013030-2d30-3033-3437-37373924de43,,00-0034777,CHA553392,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Taven,Bryan,DL,90,STARTED,2020,32013030-2d30-3033-3438-343263260835,,00-0034842,BRY121291,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Jawaan,Taylor,OL,75,STARTED,2020,32013030-2d30-3033-3532-33376a61f247,,00-0035237,TAY349425,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Gardner,Minshew,QB,15,STARTED,2020,32013030-2d30-3033-3532-3839c25a936a,,00-0035289,MIN604610,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Brandon,Watson,S,40,,2020,32013030-2d30-3033-3533-3735995a9999,,00-0035375,WAT311992,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Andrew,Wingard,S,42,STARTED,2020,32013030-2d30-3033-3533-3738e67c4771,,00-0035378,WIN207636,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Josh,Allen,DE,41,STARTED,2020,32013030-2d30-3033-3536-34323256afe9,,00-0035642,ALL528759,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Dakota,Allen,LB,53,,2020,32013030-2d30-3033-3536-373070e27fb5,,00-0035670,ALL094160,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Doug,Costin,DT,58,,2020,32013030-2d30-3033-3538-323261940fe6,,00-0035822,COS761365,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Ross,Matiscik,LS,46,,2020,32013030-2d30-3033-3538-3237859d22ac,,00-0035827,MAT311216,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
James,Robinson,RB,30,STARTED,2020,32013030-2d30-3033-3538-3331fa153077,,00-0035831,ROB521367,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Luq,Barcoo,CB,36,NOT_ACTIVE,2020,32013030-2d30-3033-3631-30311b393aeb,,00-0036101,BAR114623,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Shaquille,Quarterman,LB,50,,2020,32013030-2d30-3033-3632-3335634e9bc6,,00-0036235,QUA404376,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Tyler,Davis,TE,87,,2020,32013030-2d30-3033-3632-35305646a302,,00-0036250,DAV781752,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Collin,Johnson,WR,19,,2020,32013030-2d30-3033-3632-353490cd8836,,00-0036254,JOH137817,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Davon,Hamilton,DT,52,,2020,32013030-2d30-3033-3632-36325b268905,,00-0036262,HAM205852,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Laviska,Shenault,WR,10,STARTED,2020,32013030-2d30-3033-3632-363845808754,,00-0036268,SHE458893,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Ben,Bartch,OL,78,,2020,32013030-2d30-3033-3632-3732fffa6ee9,,00-0036272,BAR720314,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
C.J.,Henderson,CB,23,STARTED,2020,32013030-2d30-3033-3632-383111756915,,00-0036281,HEN053672,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
K'Lavon,Chaisson,DE/LB,45,,2020,32013030-2d30-3033-3632-383654e1e5d8,,00-0036286,CHA031652,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Josiah,Scott,CB,24,NOT_ACTIVE,2020,32013030-2d30-3033-3633-3033126256f7,,00-0036303,SCO426818,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Daniel,Thomas,S,20,,2020,32013030-2d30-3033-3633-3036dccf1801,,00-0036306,THO091876,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Jake,Luton,QB,06,NOT_ACTIVE,2020,32013030-2d30-3033-3633-3132a0205553,,00-0036312,LUT387063,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
Chris,Claybrooks,CB/RS,27,,2020,32013030-2d30-3033-3633-313687fd5d57,,00-0036316,CLA776181,Jacksonville Jaguars,jaguars-at-bengals-2020-reg-4,2020-10-04T17:00:00.000Z
