firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,gsisPlayer.person,fullName,slug,gameTime
Joel,Bitonio,G,75,STARTED,2019,32013030-2d30-3033-3134-3236e0dc80a7,00-0031426,BIT316411,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Jermaine,Whitehead,S,35,STARTED,2019,32013030-2d30-3033-3135-313245007638,00-0031512,WHI621475,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Jaelen,Strong,WR,10,STARTED,2019,32013030-2d30-3033-3135-3630c5d1ae8a,00-0031560,STR627834,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Kendall,Lamm,T,70,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3139-32313432f23b,00-0031921,LAM628478,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Carl,Davis,NT,94,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3139-333893453a72,00-0031938,DAV212103,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Damarious,Randall,S,23,STARTED,2019,32013030-2d30-3033-3232-3531762584db,00-0032251,RAN052747,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Juston,Burris,DB,31,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3234-303349c0b79f,00-0032403,BUR608462,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Anthony,Zettel,DE,97,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3234-3335ea9af7fc,00-0032435,ZET629687,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Trevon,Coley,DT,93,STARTED,2019,32013030-2d30-3033-3235-36369ffb0e12,00-0032566,COL378757,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Brian,Price,DT,91,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3236-34398a6f5377,00-0032649,PRI059392,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Rashard,Higgins,WR,81,STARTED,2019,32013030-2d30-3033-3239-3737129a14db,00-0032977,HIG322107,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Eric,Murray,S,22,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3330-333854b907d6,00-0033038,MUR615618,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Seth,DeValve,TE,87,PLAYER_SUBSTITUTE,2019,32013030-2d30-3033-3330-38308194a298,00-0033080,DEV078904,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
Joe,Schobert,LB,53,ACTIVE_DID_NOT_PLAY,2019,32013030-2d30-3033-3331-323591d44e2c,00-0033125,SCH425646,,Cleveland Browns,redskins-at-browns-2019-pre-1,2019-08-08T23:30:00.000Z
